t|b
苏黎世 找 会 教 中文 的 阿姨 代 发帖|" 苏黎世 uitikon 附近 教 中文 三 个 孩子 大概 一 周 2 到 3 天 的 时间 有 感 兴趣 的 可以 直接 联系
以下 是 家庭 发 的 介绍 及 联系 邮件
We are looking for a child-loving chinese woman that grew up with the chinese language and that would be interested to teach our children chinese culture and langage on 2 or 3 afternoons per week.The kids are 4 ( boy ) , 3 ( girl ) and 1 ( girl ) years old and are very interested in languages.They learn english , german and french in school anyway , so we would like to give them the oppurtunity to learn an important language which is hard to learn when they are older
We can offer a central and nice working place in Uitikon-Waldegg ( 5 minutes from Zurich by car , or 20 minutes by train and foot with S10 from Zurich Main Station ) and offer a fair salary.We are interested in something like 2-3 times a week 4 hours in the afternoon.It would be nice if you could play and talk with the kids ( or go for a walk-just"" normal""activities , no housekeeping ).The mother will help things out by the side
We can be contacted via our e-mail address ： christian.plattner@cleondris.ch
欢迎 合适 的 人 直接 邮件 联系 谢谢 "
苏黎世 华人 请 保姆|" 我们 需要 请 一 位 会讲 中文 的 保姆 ， 帮忙 带 孩子 （ 接送 ） 、 做 简单 家务 。
有意者 请 联系 ： 0798794660.
Email : qiaoniuandchouniu@ gmail.com
谢谢 ！ "
德语 英语 中文 皆 流利 的 求职者 请 路过|" 今天 收到 我 以前 一个 job agent 的 邮件 ， 介绍 我 一个 工作 机会 ， 可惜 我 语言 条件 不 符合 ， 如果 谁 符合 以下 条件 的 ， 请 站 内 短 信 我 ， 我 给 你 联系 方式 ， 自己 跟 中介 联系 ， 碰碰 运气
要求 ， 德语 ， 英语 ， 中文 都 流利 （ 工作语言 ）
有 人事 管理 方面 的 工作 经验 ， 因为 需要 在 人事部门 工作
要求 有 瑞士 工作 许可 。 工作 地点 在 苏黎世 。 "
法语 区 餐馆 急 招 楼面 几 名|" 大家 好 ， 我们 的 餐馆 在 法语 区 Neuchatel 州 ， 靠近 湖边 ， 现在 需要 招聘 兼职 楼面 几 名 ， 上班 时间 可以 商量 ， 但是 希望 是 在 周五 至 周 天
之间 ，
请 尽快 联系 我们 QQ ： 582626830
电话 ： 0764 253838 谢谢 ！ "
巴塞爾 3 月 初 招聘 2 位 壯男幫 忙 搬家 , 有 酬勞 ~ ~ ~ 已經 找到 人 , 谢谢 大家 !!|" 本 帖 最后 由 vicki 1983 于 2013-2-915:33 编辑
招聘 2 位 壯男幫 忙 搬家 。 3 月 初 在 巴塞爾 Basel 需要 搬家 , 家裏 房子 是 2 閒 的 38 平米 , 東西 大約 有 個衣櫃 , 床 , 宜 傢抽屜 , 冰箱 , 桌子 , 還 有 一些 紙箱 。 我 到 時候會 打 包 好 , 租 一個小卡車 , 搬 到 離家 不遠 ( 同 一個車站 ) 只 隔 兩條馬 路 的 房子 . 老家 是 ０樓 EG , 新傢 是 2 樓 。 價格 大約 １００ 法郎 每人 ， 估計 １個 下午 可以 搬 完 。
希望 想 要 勤 工 儉學 的 壯男學生 ， 或者 在 Basel 有 興趣幫 忙 的 朋友 聯係 我 。
QQ 或 微 信 ： １５７３８８６
手機 ： ０７８８９１８５７８ "
找 月嫂|二月 二十 号 左右 想 找 一个 月 嫂帮忙 照顾 ， 有意者 可 打 0765335658 电话 ， 具体 情况 我们 电话 联系 。 谢谢 ！
洛桑 找 兼职 保姆|2 天 是 哪 2 天 呀 ？ ？
洛桑 理发|" 各位 朋友 ， 如果 要 剪 头发 ， 欢迎 致电 0774575718 。 她 随时 都 为 你们 服务 。
谢谢 。 "
招聘 2 月 18 日 比尔 （ Biel/Bienne ， 伯尔尼 也 可以 ） 德语 或是 英语口语 翻译|" 2 月 18 日 我们 公司 需要 在 比尔 Biel/Bienne 有 一 场 关于 成人 教育 的 会议 ， 需要 德语 或是 英语口语 流利 的 翻译 一 名 。
要求 ： 德语 或是 英语口语 流利
时间 ： 2 月 18 日 上午 10 点 开始
地点 ： 比尔 （ Biel/Bienne
内容 ： 关于 成人 教育 方面 的
报酬 ： 联系 上 细谈
联系 方式 ： 邮箱 omylxs@ hotmail.com
QQ : 104 3015115 "
vevey 附近 中餐厅 现 招聘 一 名 酒店 实习 学生|大家 好 ， vevey 附近 中餐厅 现 招聘 一 名 酒店 实习 学生 ， 包 吃 住 ， 有 合同 ， 请 感 兴趣 的 朋友 和 我们 联系 ， visclou@ yahoo.com , 07883 13927 , 谢谢
法语 区 餐馆 急 招 楼面 几 名|" 大家 好 ， 我们 的 餐馆 在 法语 区 Neuchatel 州 ， 靠近 湖边 ， 现在 需要 招聘 兼职 楼面 几 名 ， 上班 时间 可以 商量 ， 但是 希望 是 在 周五 至 周 天
之间 ，
请 尽快 联系 我们 QQ ： 2205956304
0764 253838 谢谢 ！ "
招聘 帮厨|" 卢塞恩 中餐馆 ， 需 几 名 有 证 帮厨 ， ， ，
有意者 请 加 Q ： 2205956304 谈
电话 ， 07882 53838 。 。 "
洛桑 理发|" 各位 朋友 ， 如果 要 剪 头发 ， 欢迎 致电 0774575718 。 她 随时 都 为 你们 服务 。
谢谢 。 "
瑞士 洛桑 餐馆|" 最近 招聘 一 名 楼面 服务员 ， 会 说 法语 （ 简单 也 可以 ） ， 男女 不限 （ 年龄 不 限 ） ， 身高 （ 不 限 ） ， 长相 （ 不 限 ） ， 身材 （ 不 限 ） 。
具体 时间 可以 电话 ： 手机 ： 0764 248655 王 先生 。 。 "
招收 实习 楼面|日内瓦 一 中餐馆 现在 急需 一 名 实习 楼面 ， 要求 有 学生 Permit , 会 说 流利 的 英文 ， 懂 一点 基本 法语 ， 男女 不限 ， 酒店 管理 学生 优先 ， 有意者 请 联系 ， 0227326868
中餐馆 诚聘 一 位 楼面 。|" 中餐馆 诚聘 一 位 楼面 。
男女 不 限
有意者 请 致电 ： 0767890734 （ 最 好 能 在 晚 8 点 前打 ）
PS ： 具体 请 打电话 ... "
找 服务员|急 招 一 名 服务员 ， 最好 有 证 ， 男士 优先 ， 待遇 从 优 ， 有 一定 的 法语 水平 。 有意者 请 在 晚上 10 点 后 电话 联系 。 联系 电话 0767886888
餐馆 找 小时 工|日内瓦 餐馆 找 学生 中午 小时工 。 会 基本 餐馆 法语 ！ 有意者 致电 ： 0788062583
日內瓦﹣ 有 償求 有 麵包 車族 帮忙 搬 箱子|我 有 14 箱 衣服 鞋子 書美 術品 要從 美國 運來 日內瓦 （ 大概 是 一個入牆衣 櫃裝滿 ） 貨櫃 大概會 在 3 月 頭到 日內瓦 我 的 貨運 公司 通知 我 ， 大型 貨櫃 車沒法進 入 我 住 的 街道 ， 如果 要 他們 大 車轉小車 送 到 我 家 ， 我 要 另付 好幾百塊 ， 箱子 上 了 船 才 跟 我 坐 地 起價 ， 我 下 的 單子 是 door to door ， 就 是 從一個家幫 我 送 到 別一個家 。 吵 了 很 久 對方 都 不 肯 讓步 ， 非常 生氣 。 給白人賺 ， 倒 不如 給自己 中國 人賺 。 看看 有 沒有職業 送貨 司機 有 空 有 車幫一幫 我 ， 我 現在沒 有 確定 地址 ， 但是 在 日內瓦 市內 ， 送 去 Paquis 。 可以 幫上 忙 的 司機 可以 信息 我 跟 報價 謝謝
洛桑找 保姆 工|找 带 小孩 上午 11 点 到 下午 15 点 4 个 小时 30 瑞郎 ， 中午 一 顿 饭 ， 周 一 至 周六 ， 小孩 9 个 月 ， 洛桑 ， 电话 ， 0763329017
找 看孩子 的 阿姨 或者 姐妹 。|" 本 帖 最后 由 酷哥哥 于 2013-1-2512:09 编辑
在 楚格 ， 住 我家 （ 自己 单人 住 一个 房间 和 自己 使用 一个 卫生间 ） ， 管吃 管 住 。 主要 工作 ： 陪伴 2 岁 半 小 帅哥 和 买 菜 做饭 （ 简单 中餐 ） ， 兼 做 一般 家务 。 时间 ： 3 月 到 8 月 。 有 什么 问题 我们 可以 协商 。 "
代 朋友 招聘 服务员|帮 朋友 招聘 服务员 ， 要求 会 德语 会 英语 要 有 证件 需要 的 朋友 直接 给 她 打电话 不 需要 在 这 留言 谢谢 0763 25 7718
Fribourg 餐厅 招聘|哈哈 ， 是 雄品 吗 ？
[ 苏黎世 ] 招 会 做饭 的 人|" 本 帖 最后 由 hebhlj 于 2012-10-2312:34 编辑
大家 好
最近 在 开发 一个 在线 的 订餐 平台 ， 其 特点 是 卖 饭 的 不 是 餐厅 而 是 私人 厨师 ， 如果 。 。 。
- 你 爱 做饭
- 你 周围 朋友 都 赞美 和 敬佩 你 的 厨 技
- 你 想 赚 点 外快 （ 此 项目 成功 的话 ， 也 可能 会 成为 全职 的 工作 ）
- 你 性格 比较 开朗 ， 喜欢 跟 客户 直接 沟通
- 喜欢 创新
- 住 在 苏黎世 。 。 。
欢迎 留下 你 的 邮件 地址 。
PS ， 已 有 一个 测试 版本 ， 你 可以 到 http : //test.qisine.com 去 看看 。 "
找 看孩子 的 阿姨|本 人 想 找 一个 有 经验 的 带 孩子 的 阿姨 ， 有意者 电话 联系 0764338898
瑞典 公司 招聘 市场部 实习生|顶 一个 ， 公司 非常 靠 谱 ！
洛桑 湖边 新 开 日本 料理 店 招聘|" 洛桑 湖边 新 开 日本 料理 店 招聘
2 厨师 2 名 要求 会 寿司
1 洗碗 工 1 名
服务员 4 名 ， 会 法语 ， 有 证件 的 优先
酒店 管理 学生 4 名 ， 有 过 实习 经验 的 优先
可以 提供 住宿
联系 张 先生 07678764 19
邮件 kingkao1201@ yahoo.com.cn "
找 替工|" 本 帖 最后 由 ayan 于 2013-1-2215:32 编辑
.."
日本餐 师傅 找 工作|有着 熟练 的 手法 ， 寻找 1 份 寿司 工作 ， 地点 看 情况 而 定 。 电话 076 3276664
招聘 1 月 28 日 尼 翁 （ NYON ， 日内瓦 和 洛桑 也 行 ） 英语 或是 法语 口语 翻译|" 1 月 28 日 我们 公司 需要 在 尼翁 有 一 场 关于 水利 的 会议 ， 需要 英语 或是 法语 口语 流利 的 翻译 一 名 。
要求 ： 英语口语 流利 或是 法语 口语 流利
时间 ： 1 月 28 日 上午
地点 ： 尼 翁
内容 ： 关于 水利 方面 的
报酬 ： 联系 上 细谈
联系 方式 ： 邮箱 omylxs@ hotmail.com
QQ : 104 3015115 "
中国 商店|" 本 帖 最后 由 浪漫 天使 于 2013-1-1914:19 编辑
洛桑 ， 中国 商店 ， 招 长期 打杂 男工 一 名 ， 工作 时间 下午 3 点 到 晚上 10 点 。 "
超市 招聘 店员 ， 待遇 优厚 。|斑竹 。 。 。 。 过来 封 了 ID 吧 。 。 。 估计 又 是 一个 骗子 ...
苏黎世 酒 吧 卡拉 OK 招 实习生|lz ， 人 在 日本 想 来 这里 骗 qq 号 么
搬家 和 打扫 卫生|" 有 谁 知道 苏黎世 有 比较 便宜 但 不 太 劣质 的 搬家 和 清洁 公司 不 ？ 要能 说 英文 的 （ 或者 中文 。 。 。 ）
刚刚 在 网上 找 了 几 家 ， 发 了 信息 问 了 ， 等 明天 人家 才 能 回 ， 我等 得 不耐烦 了 。 。 。 "
招工|招收 一 名 帮厨 。 有意 垂询 ： 07888622 41
招 帮 厨 打杂 洛桑|洛桑 波及 招 帮 厨 打杂 一 名 ！ 包 吃 住 ， 待遇 优 ， 有意者 请 联系 0794385662 张 先生 。 谢谢
招聘|" 找 临时工 一 名 ， 大概 两 个 月 ， 工作 时间 是 11 ， 45 到 14 ， 00 点 ， 周 一 到 周五 ，
有 兴趣 请 联系 QQ ： 2205956304
电话 ， 0765253838 。 工资 面议 ， 谢谢 。 "
日内瓦 小型 公司 找 一 名 中国 销售 - 实习|日内瓦 公司 招 一 名 上午 半 天 的 销售 . 学生 实习 机会 , 从 1 月 到 4 月 底 . 有 薪酬 ( 因为 是 学生 实习 机会 , 所以 全 天 月工资 1000 CHF ). 感 兴趣 的 学生 请 把 简历 投放 到 此 email : memberships@hosco.com , 公司 的 详情 请 到 官方 网站 上 了 解 .www.hosco.com 要求 会 英语 , 普通话 母语 , 有 销售 经验 优先 . 谢谢 合作 .
招聘|请问 是 什么 工作 ？ 在 哪个 城市
中餐馆 招 厨房 帮工|" 本 帖 最后 由 demi 于 2013-1-317:38 编辑
如题 ！ 需要 有 身份证明 的 。 （ 黑工 不要 ）
联系 电话 ： 0765759889 "
日内瓦 小型 公司 找 一 名 中国 销售 - 实习|本 帖 最后 由 cynthiazl 于 2013-1-1109:54 编辑 日内瓦 公司 招 一 名 上午 半 天 的 销售 . 学生 实习 机会 , 从 1 月 到 4 月 底 . 感 兴趣 的 学生 请 把 简历 投放 到 此 email : memberships@hosco.com , 公司 的 详情 请 到 官方 网站 上 了 解 .www.hosco.com 要求 会 英语 , 普通话 母语 , 有 销售 经验 优先 . 谢谢 合作 .
找 看孩子 的 阿姨|" 本 帖 最后 由 new.far 于 2012-12-517:03 编辑
朋友 住 洛桑 ， 需要 上班 ， 女儿 九 个 月 ， 需要 找 个 阿姨 帮忙 照顾 ， 一个 星期六 天 ， 11：00 至 15：00 ， 具体 情况 请 电话 咨询 ： 0765675980 联系 时间 ： 16：00 至 21：00"
保姆|" 本 帖 最后 由 dipf 于 2012-12-216:44 编辑
家里 有 一个 3 岁 女孩 ， 白天 主要 去 幼儿园 。 家 住 Aarau ， 德语区
希望 能够 长期 做 。 兼职 也 可以 ， 主要 是 晚上 带 孩子
电话 0764372809
或 你 留下 电话 ， 我 回电 。 "
洛桑 郊区 楼面 请人|" 洛桑 郊区 找个 会讲 法语 有 工作 经验 者 楼面··· 有 意者 联系 电话 0765379816
非诚勿扰··· 谢谢 合作 "
中餐 招 楼面|帮 你 顶下 。 。 。
日内瓦 钟表店 诚聘 导购 随时 上班 长期 合同|" 日内瓦 钟表店 诚聘 导购 随时 上班 长期 合同
男女 不 限
会 流利 的 英语 和 法语
无基础 者 学习 快 有 上进心 的 人 也 可以
请 您 把 您 的 法语 简历 寄 到 以下 邮箱 , 合适 的 人 老板 自然 会 和 您 联系 。 swisswatchesagency@ hotmail.fr "
卢塞恩 礼品店 招聘 ( 代 发帖 )|" 本 帖 最后 由 vivian_ ao 于 2013-1-312:58 编辑
卢塞恩 aree souvenir 礼品店 招 中国 店员 ， 工作量 50% ( 包括 双休日 ) ， 从 现在 到 10 月 ， 最好 是 年轻人 要求 会 基本 的 德文 或者 英文 ， 有 工作 许可 ， 热情 大方 ， 诚实可靠 ， 有意者 可以 在 上午 8 点 以后 联系 0414102976 或 079893 1541 Frau Aree Wirz.
地址 z ü richstrasse 14.6004 luzern"
招 服务员|本 帖 最后 由 浪漫 天使 于 2012-11-613:28 编辑 招 服务员 ， 包 吃 ， 包住 ， 工资 打电话 问 老板 ， 电话 ： 079210804 2021-9056308 （ 帮 朋友 登 ， 一切 问题 概 不 清楚 ， 自己 电话 问 ， 所以 站 内 留言 一概 不 回 ）
招聘 饭店 服务员|" 在 亭子 看到 的 ， 知道 某些 男士 不 去 亭子 ， 就 转来 了 ， 希望 原作者 别 介意 。 代 朋友 发 个 招聘 贴
饭店 在 MORGES 附近 , 工作 比较 轻松 , 包 吃 住 , 要求 有 一定 的 饭店 工作 经验 , 以及 法语 基本 会话 能力 , 请 在 16 点 到 20 点 之间 直接 与 饭店 联系 , 电话 0789491143 , 谢谢 . 链接 http : //www.tingzi.net/vb/showthread.php?t = 2000 4"
中国 商店|" 本 帖 最后 由 浪漫 天使 于 2012-12-2517:53 编辑
洛桑 ， 中国 商店 ， 招 长期 打杂 男工 一 名 ， 工作 时间 下午 2 点 到 晚上 10 点 ， 电话 ： 0787988052 ， 021 3200 450 （ 帮 朋友 发 ， 具体 情况 不 清楚 ， 所以 自己 电话 联系 ） "
中餐 招 一 名 楼面|那个 城市 的
服务员|在 什么 地方 哪个 城市
招 寿司 师傅|我会 ， 现在 上 语言 学校 ， 会 英语 ， QQ104 3720277
体验 奢侈品 购物 Interlaken , Luzern , Zurich , Geneve 招聘 兼职 说 中文 的 神秘 客|" 套 今天 FT 上 看到 的 一 句 话 :
钱 多 有 品味 的 可以 定制 ， 钱 多 缺 品味 的 就 给 限量 版 ， 钱 少 有 品 的 低调 奢华 ， 钱 少 缺 品味 继续 Logo 伺候 。 "
三包 ， 求 保姆 一 名 ！|" 本 帖 最后 由 板凳 王 于 2012-12-1800:21 编辑
如 题 ， 找 一 名 保姆 要 长期 的 ， 有 经验 者 优先 ， 待遇 优厚 。
非诚勿扰 ， 详情 电联 ， 0788508823 非 诚 勿 扰非诚勿扰非诚勿扰非诚勿扰非诚勿扰非诚勿扰非诚勿扰非诚勿扰非诚勿扰非诚勿扰非诚勿扰 "
洗碗 工|Aigle 中餐馆 招聘 一 名 洗 碗 工 , 有意者 请 站 内 短 信 或 致电 0763460688 咨询 详细 事宜 . 请于 14H-18H 之间 致电 . 谢谢
沃州 中餐 招聘|楼面 ， 厨房 工 ， 要求 有 瑞士 有效 证件 或 学生证 ， 有意 着 电话 联系 076 32884 15
ljf|中餐馆 招 一个 有 经验 的 楼面 经理 ， 在 德区 。 可以 留下 电话 我 会 联系 你 。
日内瓦 - 洛桑 之间 招 保姆 一 名|" 本 帖 最后 由 古古 于 2012-12-2101:17 编辑
已 找到 "
日内瓦 招 话务员|是 色情 的 话 我 报名 ( s2144a)
餐厅 招 有 经验 帮厨 和 服务员|如 题 ， 德语区 ， 提供 吃 住 ， 有意者 致电 0779379638
找 有 经验 帮 厨|" 找 有 经验 帮厨 ， 在 德区 ，
0788677073"
日内瓦 boky 招工|日内瓦 boky 招 有 经验 楼面 一 名 ， 男女 不 限 ， 有 意者 请 来 餐馆 跟 chef lisa 商讨 工作 事宜 或 致电 0227383794 。
有 经验 帮 厨|Vevey 中餐 现请 一 位 有 经验 帮厨 ， 待遇 面议 ， 可 包 吃 住 ， 有意者 请 电联 ： 0764120968 谢谢 。
法语 区 中餐 找 帮厨|法语 区 moudon 中餐 招聘 一 名 帮厨 , 有意者 请 电联 : 老板 07921080 42
有 经验 帮 厨|moudon 中餐 急聘 一 名 有 经验 帮厨 , 包 吃 包住 , 一个 星期一 天 半 休息 , 工资 等 情况 请 与 杨 老板 商议 , 电话 07921080 42
中国 商店|" 本 帖 最后 由 浪漫 天使 于 2012-12-511:54 编辑
洛桑 ， 招 长期 男 杂工 一 名 ， 有意者 站 内联系 "
有 没有 导游 兼 司机 ？|有 朋友 来 瑞士 ， 想 找 一个 导游 ， 带 车 。 大概 2-3 天 的 时间 。 如果 有的 话 ， 可以 打电话 给 我 。 07938980 52.
急 招 司机 导游 ！！ ！|急 招 司机 导游 ， 圣诞节 的 团 ， 最好 是 Vaud 州 ， 熟识 瑞士 经典 名胜 ， 路线 报价 细谈 。 有意 留下 邮箱 或 加 QQ 545857930 ， 或者 写 邮件 给 我 ruojuncherry@ hotmail.com
求 一个 可 去 瑞士 和 德国 的 带 车 司机 导游|一 对 年轻 夫妇 想 6 月 中旬 来 瑞士 旅行 ， 因为 听说 瑞士 好 ， 所以 不 想 跟 团 ， 想 选择 自助 旅行 多 在 瑞士 呆 几 天 。 由于 语言 不通 和 地形 不 熟悉 ， 想 托 我 问问 有 没 有 能够 接待 这样 游客 的 带 车 导游 ， 重点 想 游览 瑞士 的 景点 ， 然后 再 去 德国 。 如果 有 符合 以上 要求 的 朋友 麻烦 与 我 短 信 联系 ， 顺便 告诉 我 收费 情况 ， 谢谢 了
