dt,usr,title,body
5,huaren123,洛桑理发,"各位朋友，发型乱了？头发长了？
      不用担心，拿起电话拨打 077 457 57 18。 
  她随时都可以帮您们剪一个好看的头发，这样出席朋友会，有一个漂亮的发型，多有面子。
         价钱不贵 男的只要20瑞郎，女的只要25瑞郎。
                  请勇于拨打这个电话， 谢谢。"
7,xiexusong,洛桑郊区中餐招楼面,"餐馆位于 savigny附近,现招楼面一名,包吃不包住,来电请致：0799566408"
7,LOAH168,伯尔尼中餐招人,找帮厨和楼面，电话0765220384 ，请在下午2点后拨打，谢谢。
2013-2-14 01:26:30,kingwang001,洛桑餐馆招楼面一名.（ part-time job),"洛桑餐馆招楼面一名.（ part-time job)
有意者请联系：076 755 18 48"
2013-2-19 10:31:56,abcdefg-100,工作信息,骗子死全家
2013-2-14 00:07:55,xiexusong,洛桑郊区中餐招楼面,"本帖最后由 xiexusong 于 2013-2-14 00:13 编辑 
餐馆位于 savigny附近,现招楼面一名,包吃不包住,来电请致：0799566408"
2013-2-26 13:53:03,MICHELXU,招聘3月5日上午苏黎世英语或是德语口语流利临时翻译一名,"因与外方在苏黎士有一场关于机场交流的会议,需要招聘一名英语或是德语口流利翻译.
要求:英语口语流利或是德语口语流利
地点:苏黎士
时间:3月5日上午 估计两小时左右
报酬：联系上谈。
联系方式：邮箱/MSN：omylxs@hotmail.com
               QQ:1043015115"
2013-1-7 09:54:55,tango,苏黎世中餐招人,苏黎世餐馆找有经验帮厨，电话0765877188.具体请电话联系
2013-2-4 01:40:40,restaurant,德区中餐招有证帮厨,"德区中餐招有证帮厨，
0788677073"
2013-2-24 19:32:05,兜内米168,fribourg找女士带孩子,"本帖最后由 兜内米168 于 2013-2-24 19:34 编辑 
急需1位女士带孩子一个礼拜休息一天包吃包住。工资面议有意者请联系0763291688 Q632911543"
2013-2-24 19:38:07,兜内米168,找女士带孩子,弗里堡找人带孩子，有责任心 爱干净的女士，一个礼拜休息一天。待遇面议或来电咨询.联系电话0763291688 Q 632911543谢谢
2013-2-10 20:58:40,lama214,寻找一名洗碗工（洛桑）,"大家好，
两天前其实我已经发过一个帖子来为餐馆寻找一名服务员和二厨。http://www.swissant.com/forum/vi ... &extra=page%3D1
今天需要再加一个职位的招聘，如题，我们还需要一名洗碗工。餐馆位于洛桑市中心。
有意的朋友请拨打078 929 05 96来联系，谢谢。
ps：需要招聘的其实是我的家人，我为他们发帖子，留的电话是他们的，因为我无法做主。也是因为这个原因，如果有朋友通过论坛内部的联系方式联系我而我没有及时回复，我表示抱歉。"
2013-2-11 18:55:55,takaaki,1,"本帖最后由 takaaki 于 2013-2-24 17:32 编辑 
1"
2013-2-5 14:35:45,易易,找楼面或保姆,法区招楼面或保姆一名.有意者请站内留言并简单的自我介绍一下.谢谢.
2013-2-8 18:39:33,lama214,寻找一名打短工的服务员和一名有经验的二厨（洛桑）,"本帖最后由 lama214 于 2013-2-10 21:48 编辑 
大家好，最近快过年了，餐馆里几位员工回家过年，导致目前人手严重不足，所以想在这里发一个帖子进行招聘。我们需要两名员工：一名是打短工的服务员，大概需要工作一个月左右。另一名是一位有经验的二厨，会做菜，在客人很多时能够帮助另一位厨师出菜。
我们的餐馆在洛桑，主要做中餐和泰餐，位于洛桑市中心。
如果有朋友有意的话，请拨打 078 929 05 96，通过电话，我们可以进行详谈，谢谢。
另外快过年了，祝各位新年快乐。"
2013-2-14 18:51:01,vivian_ao,苏黎世找会教中文的阿姨 代发帖,"苏黎世uitikon 附近教中文 三个孩子 大概一周2到3天的时间 有感兴趣的可以直接联系
 以下是家庭发的介绍及联系邮件
We are looking for a child-loving chinese woman that grew up with the chinese language and that would be interested to teach our children chinese culture and langage on 2 or 3 afternoons per week. The kids are 4 (boy), 3 (girl) and 1 (girl) years old and are very interested in languages. They learn english, german and french in school anyway, so we would like to give them the oppurtunity to learn an important language which is hard to learn when they are older
We can offer a central and nice working place in Uitikon-Waldegg (5 minutes from Zurich by car, or 20 minutes by train and foot with S10 from Zurich Main Station) and offer a fair salary. We are interested in something like 2-3 times a week 4 hours in the afternoon. It would be nice if you could play and talk with the kids (or go for a walk - just ""normal"" activities, no housekeeping). The mother will help things out by the side
We can be contacted via our e-mail address  ：christian.plattner@cleondris.ch
 欢迎合适的人直接邮件联系  谢谢"
2013-2-12 10:11:02,蚂蚁安家,苏黎世华人请保姆,"我们需要请一位会讲中文的保姆，帮忙带孩子（接送）、做简单家务。
有意者请联系：079 879 46 60.
Email: qiaoniuandchouniu@gmail.com
谢谢！"
2013-1-18 19:56:03,feiercathy,德语英语中文皆流利的求职者请路过,"今天收到我以前一个job agent 的 邮件，介绍我一个工作机会，可惜我语言条件不符合，如果谁符合以下条件的，请站内短信我，我给你联系方式，自己跟中介联系，碰碰运气
要求，德语，英语，中文都流利（工作语言）
有人事管理方面的工作经验，因为需要在人事部门工作
要求有瑞士工作许可。工作地点在苏黎世。"
2013-2-7 13:50:27,weixiao888,法语区餐馆急招楼面几名,"大家好，我们的餐馆在法语区Neuchatel州，靠近湖边，现在需要招聘兼职楼面几名，上班时间可以商量，但是希望是在周五至周天
之间，
请尽快联系我们QQ：582626830
电话：076 425 3838 谢谢！"
2013-2-7 00:17:29,vicki1983,"巴塞爾3月初招聘2位壯男幫忙搬家,有酬勞~~~已經找到人,谢谢大家!!","本帖最后由 vicki1983 于 2013-2-9 15:33 编辑 
招聘2位壯男幫忙搬家。3月初在巴塞爾Basel需要搬家,家裏房子是2閒的38平米,東西大約有個衣櫃,床,宜傢抽屜,冰箱,桌子,還有一些紙箱。我到時候會打包好,租一個小卡車,搬到離家不遠(同一個車站)只隔兩條馬路的房子.老家是０樓EG, 新傢是2樓。價格大約１００法郎每人，估計１個下午可以搬完。
希望想要勤工儉學的壯男學生，或者在Basel有興趣幫忙的朋友聯係我。
QQ 或微信：１５７３８８６
手機：０７８　８９１８５７８"
2013-1-30 23:09:16,凌晨二度,找月嫂,二月二十号左右想找一个月嫂帮忙照顾，有意者可打0765335658电话，具体情况我们电话联系。谢谢！
2013-2-6 14:05:49,筱菡,洛桑找兼职保姆,2天是哪2天呀？？
2013-2-2 10:11:14,huaren123,洛桑理发,"各位朋友，如果要剪头发，欢迎致电 077 457 57 18。 她随时都为你们服务。
谢谢。"
2013-2-4 10:31:20,MICHELXU,招聘2月18日比尔（Biel / Bienne，伯尔尼也可以）德语或是英语口语翻译,"2月18日我们公司需要在比尔Biel / Bienne有一场关于成人教育的会议，需要德语或是英语口语流利的翻译一名。
要求：德语或是英语口语流利 
时间：2月18日上午 10点开始
地点：比尔（Biel / Bienne  
内容：关于成人教育方面的
报酬：联系上细谈
联系方式：邮箱omylxs@hotmail.com
              QQ:1043015115"
2013-2-3 20:59:01,visclou,vevey附近中餐厅现招聘一名酒店实习学生,"大家好，vevey附近中餐厅现招聘一名酒店实习学生，包吃住，有合同，请感兴趣的朋友和我们联系，visclou@yahoo.com, 078 831 39 27, 谢谢"
2013-2-3 14:59:02,weixiao888,法语区餐馆急招楼面几名,"大家好，我们的餐馆在法语区Neuchatel州，靠近湖边，现在需要招聘兼职楼面几名，上班时间可以商量，但是希望是在周五至周天
之间，
请尽快联系我们QQ：2205956304 
076 425 3838 谢谢！"
2013-1-18 13:39:08,weixiao888,招聘帮厨,"卢塞恩中餐馆，需几名有证帮厨，，，
有意者请加Q：2205956304 谈
电话，0788253838。。"
2013-2-2 10:11:02,huaren123,洛桑理发,"各位朋友，如果要剪头发，欢迎致电 077 457 57 18。 她随时都为你们服务。
谢谢。"
2013-1-31 11:10:49,nemo77,瑞士洛桑餐馆,"最近招聘一名楼面服务员，会说法语（简单也可以），男女不限（年龄不限），身高（不限），长相（不限），身材（不限）。
具体时间可以电话：  手机： 0764  248  655  王先生。。"
2013-1-31 22:57:53,tianrenwujin,招收实习楼面,"日内瓦一中餐馆现在急需一名实习楼面，要求有学生Permit,会说流利的英文，懂一点基本法语，男女不限，酒店管理学生优先，有意者请联系，0227326868"
2013-1-30 19:40:15,飚行天下,中餐馆诚聘一位楼面。,"中餐馆诚聘一位楼面。
男女不限
有意者请致电：076 789 07 34 （最好能在晚8点前打）
PS：具体请打电话..."
2013-1-30 01:12:53,ayan,找服务员,急招一名服务员，最好有证，男士优先，待遇从优，有一定的法语水平。有意者请在晚上10点后电话联系。联系电话0767886888
2013-1-22 02:36:03,小丑鱼,餐馆找小时工,日内瓦餐馆找学生中午小时工。会基本餐馆法语！有意者致电：0788062583
2013-1-25 01:44:36,ev18327,日內瓦 ﹣ 有償求有麵包車族帮忙搬箱子,我有14箱衣服鞋子書美術品要從美國運來日內瓦（大概是一個入牆衣櫃裝滿）貨櫃大概會在3月頭到日內瓦我的貨運公司通知我，大型貨櫃車沒法進入我住的街道，如果要他們大車轉小車送到我家，我要另付好幾百塊，箱子上了船才跟我坐地起價，我下的單子是door to door，就是從一個家幫我送到別一個家。吵了很久對方都不肯讓步，非常生氣。給白人賺，倒不如給自己中國人賺。看看有沒有職業送貨司機有空有車幫一幫我，我現在沒有確定地址，但是在日內瓦市內，送去Paquis。可以幫上忙的司機可以信息我跟報價謝謝
2013-1-27 12:53:24,nicholaswang002,洛桑找保姆工,找带小孩上午11点到下午15点4个小时30瑞郎，中午一顿饭，周一至周六，小孩9个月，洛桑，电话，0763329017
2013-1-25 08:17:48,酷哥哥,找看孩子的阿姨或者姐妹。,"本帖最后由 酷哥哥 于 2013-1-25 12:09 编辑 
在楚格，住我家（自己单人住一个房间和自己使用一个卫生间），管吃管住。主要工作：陪伴2岁半小帅哥和买菜做饭（简单中餐），兼做一般家务。时间：3月到8月。有什么问题我们可以协商。"
2012-11-27 23:56:24,筱菡,代朋友招聘服务员,帮朋友招聘服务员，要求会德语会英语要有证件  需要的朋友直接给她打电话 不需要在这留言 谢谢 0763257718
2013-1-26 04:14:23,小蔡,Fribourg餐厅招聘,哈哈，是雄品吗？
2012-10-22 16:21:51,hebhlj,[苏黎世]招会做饭的人,"本帖最后由 hebhlj 于 2012-10-23 12:34 编辑 
大家好
最近在开发一个在线的订餐平台，其特点是卖饭的不是餐厅而是私人厨师，如果。。。
-你爱做饭
-你周围朋友都赞美和敬佩你的厨技
-你想赚点外快（此项目成功的话，也可能会成为全职的工作）
-你性格比较开朗，喜欢跟客户直接沟通
-喜欢创新
-住在苏黎世。。。
欢迎留下你的邮件地址。
PS，已有一个测试版本，你可以到http://test.qisine.com去看看。"
2013-1-20 19:05:47,小缘08,找看孩子的阿姨,本人想找一个有经验的带孩子的阿姨，有意者电话联系  076 433 88 98
2013-1-22 19:43:43,haozhuang,瑞典公司招聘市场部实习生,顶一个，公司非常靠谱！
2012-12-19 19:40:44,takaaki,洛桑湖边新开日本料理店招聘,"洛桑湖边新开日本料理店招聘
2 厨师 2名要求会 寿司
1 洗碗工 1名
服务员 4 名，会法语，有证件的优先
酒店管理学生 4名 ，有过实习经验的优先
可以提供住宿
联系 张先生 076 7876419
邮件 kingkao1201@yahoo.com.cn"
2013-1-22 01:35:38,ayan,找替工,"本帖最后由 ayan 于 2013-1-22 15:32 编辑 
.."
2013-1-22 20:20:03,工作狂,日本餐师傅找工作,有着熟练的手法，寻找1份寿司工作，地点看情况而定。电话  0763276664
2013-1-21 13:43:50,MICHELXU,招聘1月28日尼翁（NYON，日内瓦和洛桑也行）英语或是法语口语翻译,"1月28日我们公司需要在尼翁有一场关于水利的会议，需要英语或是法语口语流利的翻译一名。
要求：英语口语流利 或是法语口语流利
时间：1月28日上午
地点：尼翁  
内容：关于水利方面的
报酬：联系上细谈
联系方式：邮箱omylxs@hotmail.com
              QQ:1043015115"
2013-1-5 14:18:26,浪漫天使,中国商店,"本帖最后由 浪漫天使 于 2013-1-19 14:19 编辑 
洛桑，中国商店，招长期打杂男工一名，工作时间下午3点到晚上10点。"
2013-1-19 15:55:26,小贱,超市招聘店员，待遇优厚。,斑竹。。。。过来封了ID吧。。。估计又是一个骗子...
2013-1-16 13:44:06,zhonglt6611,苏黎世酒吧卡拉OK招实习生,lz，人在日本想来这里骗qq号么
2012-11-12 22:42:19,nancybnye,搬家和打扫卫生,"有谁知道苏黎世有比较便宜但不太劣质的搬家和清洁公司不？要能说英文的（或者中文。。。）
刚刚在网上找了几家，发了信息问了，等明天人家才能回，我等得不耐烦了。。。"
2013-1-14 13:46:02,chihejiang,招工,招收一名帮厨。有意垂询：0788862241
2013-1-8 23:07:20,xujun0813,招帮厨打杂洛桑,洛桑波及招帮厨打杂一名！包吃住，待遇优，有意者请联系0794385662张先生。谢谢
2013-1-11 16:18:31,weixiao888,招聘,"找临时工一名，大概两个月，工作时间是11，45到14，00点，周一到周五，
有兴趣请联系QQ：2205956304
电话，0765253838。工资面议，谢谢。"
2013-1-10 13:55:59,cynthiazl,日内瓦小型公司找一名中国销售-实习,"日内瓦公司招一名上午半天的销售.学生实习机会,从1月到4月底.有薪酬(因为是学生实习机会,所以全天月工资1000CHF).感兴趣的学生请把简历投放到此email:memberships@hosco.com, 公司的详情请到官方网站上了解.www.hosco.com 要求会英语,普通话母语,有销售经验优先. 谢谢合作."
2013-1-7 16:10:20,zhonglt6611,招聘,请问是什么工作？在哪个城市
2013-1-3 16:31:34,demi,中餐馆招厨房帮工,"本帖最后由 demi 于 2013-1-3 17:38 编辑 
如题！需要有身份证明的。（黑工不要）
联系电话：076 575 98 89"
2012-12-17 11:40:19,cynthiazl,日内瓦小型公司找一名中国销售-实习,"本帖最后由 cynthiazl 于 2013-1-11 09:54 编辑 日内瓦公司招一名上午半天的销售.学生实习机会,从1月到4月底.感兴趣的学生请把简历投放到此email: memberships@hosco.com, 公司的详情请到官方网站上了解.www.hosco.com 要求会英语,普通话母语,有销售经验优先. 谢谢合作."
2012-12-4 18:46:31,new.far,找看孩子的阿姨,"本帖最后由 new.far 于 2012-12-5 17:03 编辑 
朋友住洛桑，需要上班，女儿九个月，需要找个阿姨帮忙照顾，一个星期六天，11：00至15：00，具体情况请电话咨询：0765675980  联系时间：16：00至21：00"
2012-12-2 00:18:14,dipf,保姆,"本帖最后由 dipf 于 2012-12-2 16:44 编辑 
家里有一个3岁女孩，白天主要去幼儿园。家住Aarau，德语区
希望能够长期做。兼职也可以，主要是晚上带孩子
电话 076 437 2809
或你留下电话，我回电。"
2013-1-7 23:05:11,年轻人,洛桑郊区楼面请人,"洛桑郊区找个会讲法语有工作经验者楼面···有意者联系电话0765379816
非诚勿扰···谢谢合作"
2013-1-2 23:17:52,19881201,中餐招楼面,帮你顶下。。。
2013-1-3 20:48:36,xinxinrenlei,日内瓦钟表店诚聘导购 随时上班 长期合同,"日内瓦钟表店诚聘导购 随时上班 长期合同
男女不限
会流利的英语和法语
无基础者学习快有上进心的人也可以
请您把您的法语简历寄到以下邮箱, 合适的人老板自然会和您联系。swisswatchesagency@hotmail.fr"
2012-10-16 20:08:31,vivian_ao,卢塞恩礼品店招聘(代发帖),"本帖最后由 vivian_ao 于 2013-1-3 12:58 编辑 
卢塞恩aree souvenir 礼品店招中国店员，工作量50%(包括双休日)，从现在到10月，最好是年轻人 要求会基本的德文或者英文，有工作许可 ，热情大方，诚实可靠，有意者可以在上午8点以后联系 041 410 29 76 或 079 893 15 41 Frau Aree Wirz.
地址 zürichstrasse 14 .6004 luzern"
2012-11-6 12:23:30,浪漫天使,招服务员,本帖最后由 浪漫天使 于 2012-11-6 13:28 编辑 招服务员，包吃，包住，工资打电话问老板， 电话：0792108042   021-9056308（帮朋友登，一切问题概不清楚，自己电话问，所以站内留言一概不回）
2012-12-29 16:22:00,我爱熊猫,招聘饭店服务员,"在亭子看到的，知道某些男士不去亭子，就转来了，希望原作者别介意。代朋友发个招聘贴
饭店在MORGES附近, 工作比较轻松, 包吃住, 要求有一定的饭店工作经验, 以及法语基本会话能力, 请在16点到20点之间直接与饭店联系, 电话078 9491143, 谢谢.链接http://www.tingzi.net/vb/showthread.php?t=20004"
2012-12-25 04:27:14,浪漫天使,中国商店,"本帖最后由 浪漫天使 于 2012-12-25 17:53 编辑 
洛桑，中国商店，招长期打杂男工一名，工作时间下午2点到晚上10点，电话：0787988052，0213200450（帮朋友发，具体情况不清楚，所以自己电话联系）"
2012-12-21 23:11:12,19881201,中餐招一名楼面,那个城市的
2012-12-15 14:40:24,bananes,服务员,在什么地方哪个城市
2012-12-20 16:35:52,byyybc,招寿司师傅,我会，现在上语言学校，会英语，QQ1043720277
2012-12-21 11:59:52,glenn001,"体验奢侈品购物Interlaken, Luzern, Zurich, Geneve 招聘兼职说中文的神秘客","套今天FT上看到的一句话:
钱多有品味的可以定制，钱多缺品味的就给限量版，钱少有品的低调奢华，钱少缺品味继续Logo伺候。"
2012-12-15 15:16:04,板凳王,三包，求保姆一名！,"本帖最后由 板凳王 于 2012-12-18 00:21 编辑 
如题，找一名保姆要长期的，有经验者优先，待遇优厚。
非诚勿扰，详情电联，0788508823非诚勿扰非诚勿扰非诚勿扰非诚勿扰非诚勿扰非诚勿扰非诚勿扰非诚勿扰非诚勿扰非诚勿扰非诚勿扰"
2012-12-12 21:43:58,易易,洗碗工,"Aigle中餐馆招聘一名洗碗工,有意者请站内短信或致电076 346 06 88 咨询详细事宜. 请于14H-18H 之间致电. 谢谢"
2012-10-2 10:08:53,ppoqqowwo,沃州中餐招聘,楼面，厨房工，要求有瑞士有效证件或学生证，有意着电话联系0763288415
2012-12-18 16:25:50,ljf,ljf,中餐馆招一个有经验的楼面经理，在德区。可以留下电话我会联系你。
2012-12-15 14:55:35,古古,日内瓦-洛桑 之间招保姆一名,"本帖最后由 古古 于 2012-12-21 01:17 编辑 
已找到"
2012-12-10 22:23:53,berg,日内瓦招 话务员,是色情的话我报名(s2144a)
2012-12-11 18:56:51,freesky,餐厅招有经验帮厨和服务员,如题，德语区，提供吃住，有意者致电0779379638
2012-12-8 01:22:23,computer,找有经验帮厨,"找有经验帮厨，在德区，
0788677073"
2012-12-11 00:22:58,chensier0402,日内瓦boky招工,日内瓦boky招有经验楼面一名，男女不限，有意者请来餐馆跟chef lisa 商讨工作事宜或致电0227383794。
2012-12-9 01:29:22,冰城来客,有经验帮厨,Vevey中餐现请一位有经验帮厨，待遇面议，可包吃住，有意者请电联：0764120968 谢谢。
2012-9-29 10:09:52,冰城来客,法语区中餐找帮厨,"法语区moudon中餐招聘一名帮厨,有意者请电联: 老板 0792108042"
2012-12-6 16:48:14,冰城来客,有经验帮厨,"moudon 中餐急聘一名有经验帮厨,包吃包住,一个星期一天半休息,工资等情况请与杨老板商议,电话 0792108042"
2012-12-3 02:07:37,浪漫天使,中国商店,"本帖最后由 浪漫天使 于 2012-12-5 11:54 编辑 
洛桑，招长期男杂工一名，有意者站内联系"
2012-8-25 10:06:55,兔兔群群,有没有导游兼司机？,有朋友来瑞士，想找一个导游，带车。大概2-3天的时间。如果有的话，可以打电话给我。0793898052.
2012-9-10 12:38:10,君小D,急招司机导游！！！,急招司机导游，圣诞节的团，最好是Vaud州，熟识瑞士经典名胜，路线报价细谈。有意留下邮箱或加QQ545857930，或者写邮件给我ruojuncherry@hotmail.com
2012-3-22 22:44:52,naoyao911,求一个可去瑞士和德国的带车司机导游,一对年轻夫妇想6月中旬来瑞士旅行，因为听说瑞士好，所以不想跟团，想选择自助旅行多在瑞士呆几天。由于语言不通和地形不熟悉，想托我问问有没有能够接待这样游客的带车导游，重点想游览瑞士的景点，然后再去德国。如果有符合以上要求的朋友麻烦与我短信联系，顺便告诉我收费情况，谢谢了
2012-11-19 22:38:26,benjaminff,巴塞尔 找一名司机陪练,"本帖最后由 benjaminff 于 2012-12-3 22:06 编辑 
本人现在有车，已经学车半年，开车尚可，现处于路考阶段，
现找一名陪练，要求有瑞士或瑞士承认的3年以上驾龄
价格，CHF 25.00一小时。
本人住巴塞尔德国火车站附近
有意者，请发邮件至benjamin-feng@hotmail.com
或者QQ4692030"
2012-12-4 11:18:25,99548668,苏黎世中餐找厨师,苏黎世中餐找厨师要有证 不包住 电话0786968688
2012-12-3 22:10:23,漂流swiss,Neuchatel中餐馆找一名有证实习生,"本帖最后由 漂流swiss 于 2012-12-3 23:13 编辑 
帮朋友发帖，餐馆位于在NEUCHatel，找一名有证的实习生，一月份就开始上班，工资和条件，你们自己跟我朋友谈，有兴趣的朋友，请你们与我朋友本人联系，联系电话是0788508823，0244814141 非诚勿扰"
2012-11-28 13:51:12,cynthiazl,日内瓦小型公司找一名中国销售,"一家小型瑞士日内瓦公司招收一名中国人, 要求英语流利,普通话.有国外或国内销售经验.实习或工作,全职或业余均可.有感兴趣的请把简历发到memberships@hosco.com.公司在stand附近.谢谢"
2012-12-1 17:58:06,魔鬼,招保姆兼楼面,小孩白天上学，欲找一有爱心的女孩，可作楼面，和陪伴小孩。工作轻松，工资面议，有意者打电话076 3989063。
2012-11-2 16:14:19,computer,找厨师或帮厨,"找厨师或帮厨，包吃住，工资面谈。
请留下联系方式，可发站内短信。"
2012-11-27 00:54:50,易易,招兼职保姆,"montreux附近招周末兼职保姆,时间是周五晚上,周六和周日全天.要求有责任心,对待小孩有耐心.有意者请站内留言.谢谢"
2012-11-15 17:27:52,lam,招聘女服务员,要求法语流利.地点洛桑.待遇面议.有兴趣请站内留短信.非诚勿扰谢谢！！！！！
2012-11-27 16:24:57,visclou,vevey附近中餐厅现正在招聘一名酒店实习学生,"你们好，本中餐厅现正在招聘一名酒店实习学生，可于1月中旬或2月初开始，实习期为6个月，工作合同为瑞士法定合同。实习期间包吃住，由于要和其他女孩合住一起，所以只能找个女生，谢谢理解。 请感兴趣的朋友和我联系，交流细节问题，谢谢。
078 831 39 27visclou@yahoo.com"
2012-11-23 21:04:18,99548668,苏黎世中餐招帮厨,机场附近中餐招有经验的帮厨一名  电话0435376274
2012-11-5 17:31:19,visclou,lausanne 中餐厅正招聘酒店实习生一名,你们好，本中餐厅现正在招聘一名酒店实习学生，可于12月中旬开始，实习期为6个月，工作合同为瑞士法定合同。实习期间包吃住，由于要和其他女孩合住一起，所以只能找个女生，谢谢理解。 请感兴趣的朋友和我email联系，交流细节问题，谢谢。visclou@yahoo.com
2012-11-24 14:10:35,caozhen,代老板招人,"本帖最后由 caozhen 于 2012-11-24 21:11 编辑 
已经找到了 效率啊"
2012-11-25 11:38:36,chihejiang,找楼面,"中餐馆位于沃州乡下。
招收一名长期楼面（女性）。
能熟练接听订餐电话。（法语）
善于沟通，（有餐馆经验为佳）。
联系电话：0788862241
有意电话咨询，谢谢！"
2012-11-23 22:44:20,瑞士巡警,中餐招聘,帮顶···希望是个好老板(s2115a)
2012-11-21 21:38:38,格格格,"瓦莱州, 在Aigle附近找一名周五兼职.","中餐在瓦莱州,在AIGLE附近,找一名本周五(11月23号)晚上兼职.有意者可以和我联系:0762387722"
2012-11-21 16:25:58,水上火上,想找个人带小孩，只要每天早晨3小时,"由于工作关系，想找个有证件的人(学生或者居住证都无所谓）帮忙带小孩，地址为洛桑儿童医院附近
时间段如下：星期二到星期五，早晨8点到11点，主要目的只是不想让小孩一个人在家，只需要保证小孩的安全，基本不需要做什么事，这3个小时可以开启电视或电脑给小孩看，然后偶尔陪他玩玩。
要求要有爱心，有责任心，人品合格，女性有意者请联系 076 304 21 26（最好中午和晚上5点过后）"
2012-11-18 20:51:01,visclou,找一个住家保姆,我有一个女孩，4岁，现在想找一个住家保姆照顾孩子，包吃住，每周两天休息，报酬面议，谢谢。 078 831 39 27
2012-11-8 14:58:53,lanstar,Fribourg中餐馆招帮厨一名（代发）,"代发招聘启示：
Fribourg中餐馆招厨房帮厨一名，要求有证，包吃住，工作时间：周一至周六，早上9点至下午4点，
具体详情请致电0788463419，老板姓陈。
ps：不要发站内信，我只是代发 ：）"
2012-11-16 00:33:52,qimaybe,nyon 中餐 招兼职楼面 已找到 谢谢~,"本帖最后由 qimaybe 于 2012-12-9 13:35 编辑 
一周上1到3个晚上，6点到十点这样。要会做的。最好是女的"
2012-11-15 15:04:30,visclou,vevey 附近中餐正招聘女服务员,大家好，vevey 附近中餐正招聘女服务员，工作要求法语流利，服务态度好，有经验。餐厅包吃住，具体的酬劳我们详谈，会做得双方都满意。我的电话是078 831 39 27，谢谢。
2012-11-15 10:18:01,MICHELXU,招聘11月22日Grenchen（靠近伯恩）德国口语翻译一名,"因公司需要在的Grenchen 与外方单位有一场关于住房的会议，需要招聘一位德国口语翻译
要求：德语口语流利
会议时间：11月22日下午1点开始 会议在两小时左右
地点：Grenchen（靠近伯恩） 所以伯恩朋友有时间也可以
报酬以及支付方式：联系上具体谈
联系方式：MSN/MAIL :omylxs@hotmail.com 
                QQ:1043015115"
